,pmid,flag,structure
13,25364359,0, INTRODUCTION MATERIALS AND METHODS Subjects Treatments Clinical and biochemical evaluation Statistical analyses RESULTS Tolerance and general eff ects Eff ects on anthropometric data Eff ects on biochemical parameters DISCUSSION AUTHORS' CONTRIBUTIONS
14,12466315,0, Reduction of BP Antihypertensive Treatment Modality Differs in Renoprotection Proteinuria: Marker for Progression Antiproteinuric Properties Count: Another Strategy? A Novel Strategy: COX-2 Inhibition Conclusion
15,16511955,1, Resumo Introduction Objective Patients and methods Results Discussion Conclusion
16,23983348,1, Introduction Materials and Methods Collection of plant material Preparation of the test samples Animals Anti-hyperglycemic activity test Statistical analysis for anti-hyperglycemic activity Acute toxicity study Results and Discussion
17,22721433,1, Background Methods Results Discussion Conclusions
18,27114460,1, Abstract Introduction Methods Results Genetic and immunological features Fungal infections Bacterial infections Viral infections Autoimmune and inflammatory diseases Other clinical features Preventive and curative treatment Clinical outcome Discussion Authorship Contributions Disclosure of Conflicts of Interest
19,23386079,1, INTRODUCTION OBJECTIVE METHODS RESULTS DISCUSSION CONCLUSION
20,18242931,0, INTRODUCTION METHODS Design Participants Apparatus and materials Physiological measurement and risk assessment Self­reported risk measurement and risk communication tools Fig. 2. Example of scale used to assess risk (adapted from McCaul et al. [19]). Mood assessment Procedure RESULTS Analytic strategy Findings Patient perceived vs. actual risk of CHD/stroke The relationship between perceived and actual risk of CHD and stroke and patient mood Changes in patient mood on receiving actual risk of CHD and stroke DISCUSSION AND CONCLUSION Discussion Conclusion Practice implications
21,18183046,0," Conclusions Introduction Fecal Incontinence Urinary Incontinence Other Populations to Consider Strength of Evidence What Are the Burden of Illness and Impact of Fecal and Urinary Burden to Individuals Who Are Incontinent Caregiver Burden Economic Costs What Are the Risk Factors for Fecal and Urinary Incontinence? Predictors of Incontinence Limitations A Classification System for Risk Factors Suggestions for Analysis of Risk Factors What Can Be Done to Prevent Fecal and Urinary Incontinence? Behavioral and Lifestyle Issues Management of Comorbid Conditions Long-Term Care Reimbursement What Are the Strategies to Improve the Identification of Persons at Risk and Patients Who Have Fecal and Urinary Incontinence? Tools to Assist Diagnosis Education to Promote Risk Awareness and Self-Referral What Are the Research Priorities in Reducing the Burden of Illness in These Conditions? Conceptual Methodological Measures of Burden Biological and Environmental Bases of Fecal and Urinary Incontinence Natural History Risk Factors Detection, Prevention, and Education Conclusion"
22,19952550,0," DIAGNOSING DIABETES OR PREDIABETES IN THE NONPREGNANT ADULT Traditional Criteria Diagnostic Criteria for Diabetes Diagnostic Criteria for Prediabetes MAJOR GOAL IN THE TREATMENT OF DIABETES IN THE NONPREGNANT ADULT: CONTROL THE ABCS (A1C, BLOOD PRESSURE, CHOLESTEROL) A1c <7% Blood Pressure <129/79 mm Hg Cholesterol (Lipids) Primary Goals Secondary Goals How Should I Medically Manage Glycemic Control- In the Setting of Renal Insufficiency? Critical Pathways in Cardiology • Volume 8, Number 4, December 2009 Cole et al In the Setting of CHF? Among the Elderly? How and Why is Hypertension Approached Differently in the Setting of Diabetes? How Can I Make Diabetes Care Visits More Efficient and Effective? How Can Diabetes Educators Help Me and My Patients? Critical Pathways in Cardiology • Volume 8, Number 4, December 2009 How Important is Lifestyle Management to Diabetes Care/Risk Reduction? How Can I Overcome the Obstacles to Insulin use? At What Point Should My Patient See an Endocrinologist? Cole et al"
23,24528224,0, Introduction Development of intestinal microbiota composition Altered intestinal microbiota in obesity and insulin resistance: low-grade endotoxaemia as unifying mechanism FOCUS ON HYGIENE HYPOTHESIS AND APPROACHES TO MODULATING THE MICROBIOME Microbiota in metabolism Altered short chain fatty acid-producing bacteria in obesity and insulin resistance Role of microbiota in bile acid homeostasis and insulin resistance Faecal transplantation in humans: overall efficacy via normalization of SCFA-producing bacteria? Conclusions FOCUS ON HYGIENE HYPOTHESIS AND APPROACHES TO MODULATING THE MICROBIOME Microbiota in metabolism
24,17170520,0," Introduction Materials and Methods Analysis of mRNA expression PCR amplification of cDNAs Analysis of protein expression Immunocytochemistry Single cell Microfluorimetry Glucose ENaC and SGK1 Expression Data Analysis Results Expression of SGK1, αENaC and TGF-β1 in HCD cells The effect of glucose on the localisation of SGK1 and αENaC Up-regulation of SGK1 and αENaC expression in high glucose Up-regulation of TGF-β1 expression in high glucose Up-regulation of SGK1 expression in response to elevated calcium levels and TGF-β1 Up-regulation of αENaC expression in response to elevated calcium levels and TGF-β1 HCD-cells exposed to high glucose exhibit increased [Na + ] i and [Ca 2+ ] i . Discussion"
25,27988485,0," METHODS Case Patient Information Isolates DNA Purification and Isolate Identification Antifungal Susceptibility Testing WGS, Genomic Assembly, and Single-Nucleotide Polymorphism Identification Azole Resistance Mutation Identification Query of a Global Candidemia Surveillance Program for C. auris RESULTS Case Patient Description Antifungal Susceptibility Testing ERG11 Mutation Analysis WGS Analysis Candidemia Surveillance DISCUSSION Supplementary Data Notes"
26,5883249,0, Cellular Fractionation 3. Paper Chromatography SUMMARY ACKNOWLEDGEMENT
27,24573702,0, Introduction: Discussion: Conclusion:
28,4742835,0, INTRODUCTION CASE REPORT DISCUSSION CONFLICT OF INTEREST STATEMENT
29,26875888,1, Introduction Descriptive epidemiology of clubfoot in Romania: a clinic-based study Statistical Analysis Results Patients and Methods Demographic characteristics Clubfoot (n = 62) Controls (n = 66) p-value Conclusions Discussion
30,19594884,0," Background Introducing intrinsically disordered proteins Polypeptide Chain Folding Misfolding IDPs in human diseases: illustrative case studies α-Synuclein, Parkinson's Diseases and other synucleinpathies p53 and cancer Intrinsic disorder, HPV proteins and cervical cancer IDPs in human diseases: from individual cases to general picture Unfoldomics of human diseases: tools to establish and analyze disease-related unfoldome Computational tools for the unfoldome analysis Compositional profiling Disorder predictions CDF analysis CH-plot analysis α-MoRF predicitions Alternative splicing analysis PTM analysis Simple dataset analysis Genetic diseasenNetwork analysis IDPs in cancer, CVD, neurodegenerative diseases and diabetes Functional anthology of intrinsic disorder and human diseases Intrinsic disorder in proteins from the genetic disease network Why the unfoldome and why IDPs? Induced folding, binding promiscuity, and binding plasticity Concluding remarks"
31,23285665,1, EXPERIMENTAL Statistical analysis RESULTS DISCUSSION AND CONCLUSION
32,17954361,1, Methods Assessment of Sedentary Behavior Assessment of Incident Hypertension Assessment of Covariates Statistical Analysis Results Discussion
33,26466591,0, Background Case presentation Discussion Conclusion Consent
34,26646493,0, COMPETING FINANCIAL INTERESTS A new role for dystrophin in muscle stem cells Alexandra C Keefe & Gabrielle Kardon Normal
35,3850260,1, Methods Results Conclusion
36,24049526,1, Introduction Material and methods P Pa at ti ie en nt ts s E En nd d p Results Discussion
37,25116923,1," Methods Design, Setting, and Participants 1118 XAVIER ET AL. Measurements Statistical Analysis Results INTERNET/E-MAIL USE REDUCES COGNITIVE DECLINE 1119 1120 Discussion Funding"
38,4584472,1, Introduction Methods Results Introduction Methods Data Measures Statistical analysis Results Differences by sex Bivariate associations Multivariate analyses SEPTEMBER 2015 Discussion PREVENTING CHRONIC DISEASE 4. 5. 6.
39,25541960,1," Introduction Study Population and Methods Study Design Participants Standardized Treatment Regimen Intravitreal injections Navigated MLT Statistical Methods Results Visual Acuity and CRT development Retreatment rates and number of injections 23.0, 243% 2.1 1.24, 1 (1-2) Discussion"
40,25952479,1," Introduction Methods Results CD44, OPN and inflammatory gene expression in adipose Discussion"
41,17144986,1, Mortalidad a corto y largo plazo en mujeres con infarto de miocardio tratado con angioplastia primaria INTRODUCTION SEE EDITORIAL ON PAGES 1096-8 METHODS Patients Procedure Statistical Analysis RESULTS Population Baseline Patient Characteristics and Characteristics of the Procedures In-Hospital Mortality Follow-Up After Hospital Discharge DISCUSSION Limitations CONCLUSIONS
42,26496768,0," Background Methods Data source The Diabetes Population Risk Tool (DPoRT) Study variables Statistical analysis Results Study population Associations of individual-level household education, income, and food security with DPoRT risk Associations of CAN-Marg material deprivation and ethnic concentration indices with DPoRT risk Discussion Mechanisms Study limitations Implications"
43,27980658,0, Background Methods Seed genes from literature Interaction network from literature Hypertension phenotype Pairwise network scoring Results Retrieved pairwise network scores IPF1 Discussion Conclusions
44,19396791,1, INTRODUCTION METHODS Statistical Analysis RESULTS DISCUSSION
45,21129330,0, Amyloid-Disease-Related and/or Functional Structures All Types of Glucagon Fibrils Form Reversibly and Show Differences in Stability Intrinsic Tryptophan Fluorescence Can Be Used to Monitor the Formation of Glucagon Fibrils Fibrils Grow Exponentially from Unfavorable Thermodynamic Nuclei Different Fibril Types Form via Distinct Pathways Strategies for Controlling Fibril Formation Fibrillar Glucagon as Pharmaceutical Substance? Funding: Acknowledgements:
46,24950591,1, Methods Results Case Report Discussion
47,4436265,0, Introduction Materials and Methods Study population and design Compliance Laboratory investigations Statistics Results Study population Platelet aggregation Determinants of reduced antiplatelet effect of aspirin Discussion Determinants of reduced antiplatelet effect of aspirin Anticoagulants Strengths and limitations Conclusion
48,24721812,1, Background Methods Search strategy Inclusion/exclusion criteria Methodological quality Statistical analysis Analyzed items Results Discussion Conclusions
49,12230234,1, Introduction Preparation of plant extract Induction of experimental diabetes Experimental procedure Analytical methods Statistical analysis Results Discussion S Venkateswaran and L Pari
50,1914168,1, MaterIals and Methods Study Population The patients were reexamined AnalyticalTechniques Statistical Methods ResuIts Patients' Characteristics Discussion NAG.
51,24093770,1, Background Methods Nailfold capillaroscopy Laser Doppler flowmetry Retinal vessel assessment 24-hr ambulatory blood pressure monitoring Standard clinical parameters Statistical analyses Results Nailfold capillaroscopy Laser Doppler flowmetry Retinal vessel analysis Discussion Conclusions Competing interests
52,26005974,1, INTRODUCTION PATIENTS AND METHODS RESULTS DISCUSSION CONCLUSIONS
53,17140333,1, Introduction Methods Results Discussion
54,22977505,1, Introduction Association of a polymorphism of BTN2A1 with chronic kidney disease in individuals with or without hypertension or diabetes mellitus Materials and methods Results With hypertension With hypertension and Discussion
55,24627828,0," INTRODUCTION METHODS Study design Definition of diabetes and hypertension Measurements Statistical analysis RESULTS Prevalence Awareness, treatment, and control rate of hypertension DISCUSSION CONFLICTS OF INTEREST"
56,29299082,1, INTRODUCTION MATERIAL AND METHODS Data Collection Data Analysis RESULTS DISCUSSION CONCLUSION ETHICS APPROVAL AND CONSENT TO PARTICIPATE HUMAN AND ANIMAL RIGHTS CONSENT FOR PUBLICATION
57,17495374,1," Study of association between use of complementary and Study of association between use of complementary and Study of association between use of complementary and Study of association between use of complementary and Materials and Methods Statistical analysis correct report since at times of emergency reporting, patients Results Number of patients"
58,24921018,0, INTRODUCTION The Effect of Sleep Duration on Injury Risk METHODS Subjects Variable Definitions Independent and dependent variables Control variables Statistical Analyses RESULTS Chi-squared Testing of Subject Characteristics and Injury Experience The Effect of Sleep Duration on Injury Risk Mean Sleep Duration of Each Variable Subgroup Effecting Injury Logistic Regression Analysis of Injury Causing Factors The Effect of Sleep Duration on Injury Risk DISCUSSION CONFLICT OF INTEREST
59,28427576,0, INTRODUCTION WHY DUAL ANTI PLATELET THERAPY vs ASPIRIN MONOTHERAPY WHAT DOES THE ACC RECOMMEND DOSES OF DAPT DOSE OF ASPIRIN
60,23442225,1, Background Methods/design Study setting VA/D supplementation scheme Trial inclusion and exclusion criteria Approvals and data safety and monitoring Recruitment Randomization Baseline assessment Visit schedule and measures Treatment-related side effects Sample size and power calculations Planned statistical analyses Study sample characteristics Total Screened N=51 Discussion
61,14613470,0, Study Period Inclusion Criteria Treatment Groups Propensity Score Matching Measuring Follow-up Cost and Utilization ■■ Results Study Population Selection Summary of Matching Procedure Follow-up Cost and Utilization Analysis ■■ Discussion Limitations ■■ Conclusion
62,17906190,0, INTRODUCTION Endothelial Regulation of Vascular Homeostasis Clinical Studies of Endothelial Function and Their Clinical Relevance Flavonoids and Cardiovascular Disease Flavonoids and Endothelial Function Mechanisms of Benefit CONCLUSIONS
63,25923098,0, ORIGINAL PAPERS Material and Methods Population Analyzed Data Statistical Analysis Results Populations Studied EQ VAS EQ-5D Index EQ-5D Descriptive Part Discussion
64,24639549,1, Results Significance Improvement in Insulin Resistance Following DPP4 Vaccination in Mice Discussion Materials and Methods
65,25433204,1, Introduction Methods Data collection Outcome measures Statistical analysis Results Discussion Conflicts of interest
66,12764513,0, Introduction Methods Patients Recruitment and randomization Shanghai Chronic Disease Self-Management Program The implementation of CDSMP in Shanghai Sample size Outcome measures and statistical analysis Results Baseline characteristics Effect size of CDSMP intervention on significantly changed outcome variables Preliminary analysis of Shanghai CDSMP cost versus saving Discussion Conclusions Ré sumé Resumen
67,17484507,0," Introduction Vitamin D synthesis and receptor 14 Calcium and vitamin D homeostasis during pregnancy and lactation Fetal growth and development Vitamin D and development of the nervous system Vitamin D and fetal pulmonary maturation Vitamin D, pre-eclampsia and diabetes The maternal skeleton during pregnancy Solar exposure and vitamin D supplementation during pregnancy and lactation 20"
68,395006,1, Material and Methods Animals and Perfusion System Analytical Methods Results 1) Effect of Streptozotocin Treatment on Plasma Glucose and Glucagon 2) Somatostatin and Glucagon Release from the Perfused Pancreas of Normal and Streptozotocin Diabetic Dogs in Response to Glucose Variations 3) Effect of Exogenous Insulin on Somatostatin and Glucagon Release from the Perfused Pancreas Discussion
69,24134550,1, Summary of the major findings Conclusions Methodological considerations Future perspectives
70,7692703,0, Abstract
71,20645241,0, Introduction ! Abbreviations ! Enzymatic and chemical preparation of AF and its derivatives The Potential Effects of AF and its Derivatives in Medical Applications ! AF as an antioxidant AF as an anti-inflammatory agent AF and its derivatives APP and microthecin as potential anticancer agents The antimicrobial effects of the AF derivative microthecin
72,4600552,0, Introduction 2 Mediators of Inflammation Disease-Related Oxidative Stress in DN Sources of ROS in DN. NOX Enzymes. The discovery of new members in Inflammation-Related ROS. Epigenetic Modulators. Hypertrophy and Death Signals in DN The Antioxidant Response in DN Dietary Antioxidants in DN. Targeting the Endogenous Antioxidant System in DN. Future Perspectives Abbreviations AGE:
73,16641553,0," Introduction Respiration Uncoupling and Energy Expenditure Physiological Regulators of Protein-Mediated Respiration Uncoupling: The Family of the UCPs Experimental Evidence for Physiological Roles and Implication of UCPs in Pathological Events UCP-Mediated Adaptive Thermogenesis Involvement of UCPs in Infl ammation Respiration Preventive Functions of UCPs in Atherosclerosis Regulatory Functions of UCPs in Type 2 Diabetes Mellitus UCPs and Body Weight Regulation UCPs and Mitochondrial ROS Formation, Cellular Ageing and Apoptosis UCPs in Neoplastic Events Clinical Perspectives and Therapeutic Potential of the UCP Family Members"
74,19696663,0, Introduction Type 1 vs. type 2 diabetes mellitus Outpatient glucose control Fluctuations in blood glucose Perioperative hyperglycemia Perioperative hypoglycemia Treatment of diabetes and implications for perioperative care Oral and injectable hypoglycemics Insulin Intraoperative glucose control Conclusion 1 3 4 7 Management of diabetic surgical outpatients Vann 723 10 11
75,19758106,0, Introduction The 'incretin' concept Effects on glucose metabolism Effects on body weight Effects on blood pressure Effects on lipid profile Conclusion Expert opinion Declaration of interest Bibliography
76,23981440,1, Background Methods Design Setting Sample/participants Data collection Interviews Ethical considerations Data analysis Validity and reliability/Rigour Results Part I: Risk factors prior OHCA-V among surviving people Significance of lifestyle Finding joy and strength in meaningful relationships Feeling well and doing things of their choice Modifying the lifestyle to the new life situation Finding a reason why it happened and making lifestyle changes Making your own assessment of a risk behaviour A changed view on life Challenging one's fears and adopting a positive outlook on life Discussion Conclusions
77,28938561,0, INTRODUCTION Research Paper RESULTS General observations Effects of tofogliflozin on DEN-induced hepatic pre-neoplastic lesions in db/db mice Effects of tofogliflozin on hepatic histopathology in the experimental mice Effects of tofogliflozin on mRNA expression levels of pro-inflammatory markers in experimental mouse livers Effects of tofogliflozin on serum parameters and insulin resistance and sensitivity in experimental mice Protein expressions of SGLT2 and effects of tofogliflozin on cellular proliferation and production of cytokines in human cell lines DISCUSSION MATERIALS AND METHODS Animals and chemicals Experimental procedure and histopathological examination RNA extraction and qRT-PCR analysis Clinical chemistry Cell lines and culture conditions Protein extraction and western blot analysis Proliferation assays and cytokine production in cell lines Statistical analysis Abbreviations Author contributions
78,19336918,1, MATERIALS AND METHODS RESULTS AND DISCUSSION
79,8169522,0, Muscle Lipoprotein LIPOLYSIS AND LIPID FUEL AVAILABILITY METHODS OF INVESTIGATION OF LIPOLYSIS IN VIVO Systemic measurement of lipolysis Study of regional/local lipolysis METHODOLOGY FOR THE STUDY O F LIPOLYSIS MECHANISMS OF REGULATION O F LIPOLYSIS Inhibitors of lipolysis Promoters of lipolysis (Table 3) INTEGRATION O F LIPOLYTIC REGULATION IN NORMAL CONDITIONS Post-absorptive and post-prandial states Starvation and exercise ABNORMALLY REGULATED LIPOLYSIS Stress Obesity Diabetes mellitus SUMMARY 114.
80,26814689,0, Resumo Introdução Abstract Keywords Métodos Resultados Discussão
81,25331877,1, Significance Materials and Methods Results Increase of Adiponectin in the CNS Reduced Depression-Like The Trimeric Form of Adiponectin Was Permeable to the Blood-Brain Adiponectin Knockout Diminished Running-Induced Hippocampal Levels of Hippocampal Neurotrophins and Adiponectin After Running. Discussion
82,25546936,0, Introduction Epidemiology Fournier's Gangrene -Current Concepts Clinical symptoms and pathophysiology Etiology Biochemical markers Treatment
83,24204325,1, Introduction Results Author Summary Insulin + cells in Arx mutants display a b-cell phenotype Discussion Origin of the neo-generated b-like cells The inactivation of Arx in a-cells can reverse the consequences of toxin-induced diabetes Materials and Methods Ethics statement Mouse manipulations Immunohistochemistry b-galactosidase-based lineage-tracing experiments Induction of streptozotocin-mediated diabetes Challenges and blood glucose levels measurement RNA analysis Electron microscopy Supporting Information
84,7050330,0, Laboratory Studies HYPERTENSION IN CHILDREN Screening Differential Diagnosis Evaluation Hospital Physician September 2005 Renal artery Key Point DIAGNOSIS OF THE CASE PATIENT RENOVASCULAR HYPERTENSION Key Point CONTINUED CLINICAL COURSE OF THE CASE PATIENT TAKAYASU'S ARTERITIS Pathophysiology C h a n g e t a l : P e d i a t r i c R o u n d s : p p . 2 7 -3 2 Clinical Manifestations Diagnosis Treatment C h a n g e t a l : P e d i a t r i c R o u n d s : p p . 2 7 -3 2 FOLLOW-UP OF THE CASE PATIENT CONCLUSION
85,22231974,0," Fatores que influenciam o TOTG INtRoDuÇÃo mÉtoDo métodos de análises químicas Análise estatística Aspectos éticos Relação entre as categorias de GJ, HbA1c e o resultado do totG Análise multivariada DIscussÃo ReFeRÊNcIAs"
86,22125957,0, MATERIALS AND METHODS Animals Plant extract Induction of diabetes Behavioral tests Open-field exploration test Elevated plus-maze test Porsoltís forced swim test Estimation of blood glucose Statistical analysis RESULTS Open-field exploration test Elevated plus-maze test Porsoltís forced swim test Blood glucose level DISCUSSION CONCLUSION Conflict of interest
87,18052865,0, Introduction Discussion
88,15197019,1, METHODS Patients Context Contribution Cautions -The Editors Intervention Improving Patient Care Data Collection Outcomes Examined Statistical Analysis Improving Patient Care Care Management for Depressed Diabetic Patients Role of the Funding Sources RESULTS Intervention Implementation and Process of Care Affective and Functional Status Outcomes Diabetes Self-Care and Hemoglobin A 1c Outcomes Improving Patient Care DISCUSSION Improving Patient Care Care Management for Depressed Diabetic Patients
89,26057531,0, Introduction Materials and Methods Sample Population Histopathology Pancreas Morphometry Intact exocrine pancreata in most diabetic dogs An unusual case of diabetes in a puppy Altered endocrine cell composition in islets of canine diabetes No compensatory β-cell proliferation in diabetic dogs No insulin-glucagon co-expression in islets of diabetic dogs No lymphocyte infiltration in pancreata of diabetic dogs Discussion Supporting Information
90,28513212,1, Method SmartSox Design Study 1: In Vitro Laboratory Testing Study 2: In Vivo Human Subject Testing Data Analysis Results Discussion Abbreviations
91,25861233,1, Introduction Methods Results Conclusions Expert Opinion Five-year View Key Issues
92,19000485,0, Summary of the Published Studies Examining the Treatment of Drug-Eluting Stent Restenosis Study
93,28560862,1, INTRODUCTION METHODS Patients Statistical analyses RESULTS DISCUSSION Conflict of interest
94,15563558,1," Materials and Methods Preoperative Data Intraoperative Data Postoperative Data Long-Term Follow-up Data Anesthesia, CPB, and ICU Management Statistical Analyses Results Discussion"
95,29304731,0, Background Methods Study design Participants Outcome measures PK assessments PD assessments Data analysis Results Participant disposition and demographics PK effects Safety and tolerability TEAEs Laboratory tests and clinical examinations PD effects BA uptake and synthesis Lipid profile Glucose metabolism in the T2DM cohort Discussion Conclusions Additional files
96,22156327,0, Subjects and Methods Patients Protocol Statistical analysis Results Effects of sitagliptin on blood glucose and body weight after 3 months Safety of sitagliptin treatment Discussion Effects of sitagliptin on blood glucose and body weight after 6 months Conflict of Interest
97,25126975,0, Introduction Materials and Methods Ethics Statement Study design Study population Genotype analysis Statistical analyses Results Characteristics of enrolled patients Genetic determinants affecting the warfarin maintenance dose Multiple regression model for warfarin maintenance dose Comparing our algorithm with the two algorithms derived from southern and central Chinese populations Discussion Genetic factors contribute most of variability of warfarin dose {
98,28031182,1, Introduction Methods Results COMFORT studies Case-control studies Discussion Recommendations Case revisited
99,29313576,0, • T h i s s t u d y h i g h l i g h t s e a r l y r e p u r f u s i o n b y t e n e c t e p l a s e w i t h i t s efficacy and safety even Introduction p p r o a c h t o r e p e r f u s i o n w i t h fibrinolytic therapy should be c o n s i d e r e d . P h a r m a c o l o g i c a l fibrinolysis is traditionally well Materials and Methods Study Design Study population Pharmacological reperfusion Inclusion and exclusion criteria Study Endpoints Statistical analysis Results Patients Concomitant medication Efficacy Safety Discussion Strengths and limitations Lessons learnt Conclusion Conflict of Interest
100,23384134,0, Utilization of Multidisciplinary Services for Diabetes Care in the Rural Setting
101,25171553,0, Competing interests
102,24186885,0, ■ the NeeD FOR New DIABetes DRugs ■ hOw the KIDNeYs hANDLe gLuCOse ■ sgLt2 INhIBItORs AND tYPe 2 DIABetes trials of canagliflozin ■ whO Is A CANDIDAte FOR thIs DRug? Vouyiouklis ■ whAt Is the COst OF thIs DRug? ■ the BOttOM LINe
103,21265262,0," INTRODUCTION Other History of Retinal Laser Photocoagulation Laser Wavelengths Clinical Applications of Laser Photocoagulation Retinal Laser Photocoagulation Laser Delivery Systems New and Future Innovations Leaking arterial macroaneurysms Retinal ischaemia due to vasculitis, retinal vein or arterial occlusion CONCLUSION"
104,23226532,0, Introduction Methods Isolation and Culture of Primary Rat Mü ller Cells Exposure to High Glucose and Melatonin Immunocytochemistry Measurement of Total Glutathione Enzyme-linked Immunoassay Real-time Quantitative PCR Western Blot Analysis Statistical Analysis Results High Glucose-induced Upregulation of MT1/MT2 and HO-1 Expression in Mü ller Cells Melatonin-mediated Protective Effects Against Hyperglycemia Signaling Pathways Modulated by Melatonin in Mü ller Cells Discussion
105,27236159,0, INTRODUCTION CASE REPORT DISCUSSION
106,12825541,0," Introduction MMWR June 20, 2003 Methods Tetanus Surveillance Data Analysis Results Long-Term Trends in Morbidity and Mortality Epidemiology Tetanus Toxoid Vaccination Type of Injury, Wound Treatment, and Prophylaxis Clinical Features and Treatment Neonatal Tetanus Tetanus Among Diabetics and IDUs Discussion"
107,19056548,1," INTRODUCTION SUBJECTS AND METHODS Data and design Study sample Measures Beverages Body weight status Intention to lose weight Socioeconomic status Analysis RESULTS Overall adult beverage consumption Consumption patterns of SSBs and other beverages by sex, race-ethnicity, and age Location of consumption of types of SSBs DISCUSSION INCREASING CONSUMPTION OF SSBs AMONG US ADULTS"
108,23840693,0," Introduction Subjects and Methods Participants and Clinical Measurements Sterol and Lipid Measurements Insulin Sensitivity and Insulin Secretion Indices Genetic Analyses Statistical Analysis Results Associations of Sterols with Glucose Levels, Insulin Sensitivity and Insulin Secretion Effects of Sterol Levels on the Worsening of Hyperglycemia and the Development of Incident Type 2 Diabetes SNPs Regulating Sterol Levels Discussion Supporting Information"
109,21040546,1, Background Methods Results Discussion Conclusions
110,27773994,1, Introduction A Review of the External Validity of Clinical Trials with Beta-Blockers in Heart Failure results discussion conclusion disclosure
111,24130039,0, Introduction
112,29212472,1, Methods Data sets Vascular features Boruta algorithm for relevant feature selection Reduce dimensionality and collinearity with principal component analysis Classification with linear discriminant analysis Results Feature selection and dimensionality reduction Principal feature 1 -branch points Principal feature 2 -diameter/thickness Principal feature 3 -tortuosity Principal feature 4 -growth extension Principal feature 5 -branch angle Visualization of high-and low-risk ASD cohorts Classification result of the high-risk ASD placentas Discussion Conclusions
113,4773588,0, INTRODUCTION METHODS Participants Cognitive Measures Episodic Recall Visuospatial Ability Self-Rated Cardiovascular Health and Medication Blood Pressure Genotyping of COMT Val 158 Met STATISTICAL ANALYSES Latent Growth Curve Modeling Model Specification RESULTS Descriptive Statistics and Correlations Longitudinal Factor Models: Measurement Invariance One-Group Analyses: Functional Form of Cognitive Trajectories and Variance Multiple-Group Latent Growth Curve Models: Two-Group Analyses Determinants of Differential Rates of Change Subsidiary Analyses: Subjects without CVDs DISCUSSION AUTHOR CONTRIBUTIONS
114,14986904,0, CME CREDIT PROVIDED FOR THIS ARTICLE Proinflammatory Process ANTI-INFLAMMATORY EFFECT OF INSULIN K E Y P O I N T S15 Insulin Use in Clinical Practice K E Y P O I N T ANTIATHEROGENIC EFFECT OF INSULIN INSULIN RESISTANCE CONCLUSIONS
115,23526859,1, INTRODUCTION METHODS RESULTS HRCS Classification
